LOCATION,short_rate(t),mean(short_rate(t+5y)),std_dev(short_rate(t+5y))
CHL,0.475000,2.945000,0.135000
CHL,0.550000,2.650000,1.120000
CHL,1.260000,3.400000,0.550000
CHL,1.743333,1.593333,1.504866
CHL,2.366000,0.480000,0.010954
CHL,2.812500,1.617500,1.450868
CHL,3.010000,1.850000,0.000000
CHL,3.791667,2.945000,0.475316
CHL,4.343333,3.508333,0.550679
CHL,4.785714,3.607857,1.068618
CHL,5.156364,3.454545,0.865924
CHL,5.536667,3.993333,0.683585
CHL,6.676667,4.820000,0.262425
CHL,7.320000,4.910000,0.000000
CHL,7.570000,4.880000,0.000000
USA,0.233553,1.097895,0.856786
USA,0.605000,0.138333,0.027938
USA,1.160435,2.219130,1.503804
USA,1.779333,3.972667,2.240772
USA,2.241667,1.906667,2.417421
USA,2.786000,0.702000,1.546310
USA,3.227083,4.604583,1.906194
USA,3.793000,4.987000,3.038799
USA,4.270345,5.581034,2.532103
USA,4.792121,5.283636,4.150674
USA,5.284932,4.709041,4.935465
USA,5.701875,5.329062,3.770140
USA,6.171212,7.337273,4.433087
USA,6.709412,6.095588,2.737981
USA,7.255714,7.414286,2.995980
USA,7.767222,6.725000,1.784717
USA,8.230303,6.926061,2.304258
USA,8.698000,7.366500,2.091342
USA,9.227647,8.685294,2.887297
USA,9.706154,7.990000,2.720308
USA,10.186000,9.516000,2.061491
USA,10.661250,8.845000,1.388497
USA,11.297143,9.178571,0.730546
USA,11.683333,10.646667,1.356376
USA,12.362500,8.155000,2.267118
USA,12.940000,7.880000,0.000000
USA,13.420000,7.813333,0.809334
USA,13.717500,8.105000,1.772689
USA,14.368000,7.112000,0.868778
USA,15.156667,6.130000,0.372111
USA,15.680000,7.810000,0.000000
USA,16.140000,8.090000,0.400000
USA,16.870000,6.220000,0.510000
USA,17.190000,7.820000,0.000000
USA,17.763333,7.103333,1.367683
USA,18.270000,6.650000,0.000000
USA,18.650000,7.800000,0.000000
NZL,2.728036,2.183929,0.982954
NZL,3.203529,2.432941,0.908773
NZL,3.641667,1.068333,0.396691
NZL,4.382500,4.785000,1.104819
NZL,4.749333,6.165333,1.102554
NZL,5.265556,6.480000,1.739109
NZL,5.791333,7.009333,1.915176
NZL,6.255000,6.710556,2.841595
NZL,6.755000,5.768182,2.169855
NZL,7.257879,6.591515,4.289675
NZL,7.705600,5.442400,3.500700
NZL,8.245714,8.210952,4.815581
NZL,8.782174,4.924348,2.665514
NZL,9.200526,9.029474,3.919952
NZL,9.749091,10.191818,4.672311
NZL,10.144000,11.527000,3.455651
NZL,10.560000,11.335000,0.215000
NZL,11.141429,14.325714,2.181846
NZL,11.681250,13.040000,2.784542
NZL,12.190000,14.068333,2.774523
NZL,12.837500,13.032500,3.544498
NZL,13.305000,12.295000,7.263084
NZL,13.765556,12.322222,6.202192
NZL,14.250000,14.607778,5.593759
NZL,14.658000,13.880000,5.560481
NZL,15.217778,16.168889,3.849027
NZL,15.784167,15.564167,5.942729
NZL,16.242308,13.036154,3.854778
NZL,16.710000,15.508750,6.508401
NZL,17.192000,19.240000,3.626569
NZL,17.746667,16.663333,6.820373
NZL,18.192000,10.602000,7.912781
NZL,19.155000,6.515000,0.255000
NZL,19.690000,9.630000,3.400000
NZL,20.270000,13.830000,0.000000
NZL,21.540000,11.350000,0.000000
NZL,22.187500,12.972500,0.837388
NZL,22.590000,7.330000,0.500000
NZL,23.586667,11.066667,2.682441
NZL,24.135000,13.610000,0.130000
NZL,25.230000,7.480000,0.000000
NZL,26.252500,10.647500,3.455419
NZL,26.570000,14.530000,0.000000
NZL,27.200000,14.630000,0.000000
DNK,-0.144167,-0.227500,0.080221
DNK,0.296210,-0.330645,0.052667
DNK,0.868825,-0.242500,0.012990
DNK,1.253009,-0.137826,0.097444
DNK,1.646787,0.122500,0.243503
DNK,2.206664,2.564055,1.777441
DNK,2.768158,2.630850,1.917005
DNK,3.248775,2.580463,1.397589
DNK,3.760543,3.285813,1.197002
DNK,4.267494,2.211389,1.410944
DNK,4.804694,1.786456,1.708870
DNK,5.297607,1.868187,1.500111
DNK,5.790538,3.190300,1.808471
DNK,6.225508,3.346946,1.159522
DNK,6.652200,4.406820,1.049461
DNK,7.191800,4.255950,0.071150
DNK,7.517700,4.231800,0.000000
DNK,8.161100,7.699645,2.417184
DNK,8.795533,10.719233,4.586290
DNK,9.313043,5.730300,1.766048
DNK,9.714929,7.992414,4.511734
DNK,10.215559,6.341700,3.075835
DNK,10.629400,5.486273,1.854186
DNK,11.275125,6.840550,2.331010
DNK,12.182700,6.057600,0.883014
DNK,12.875500,3.838300,0.172900
DNK,13.190800,3.907300,0.027000
DNK,14.445300,3.929700,0.000000
DNK,17.323300,3.878300,0.000000
DNK,18.147300,4.022000,0.000000
ISR,0.206819,0.216449,0.245873
ISR,0.753161,0.298777,0.170894
ISR,1.295262,0.209967,0.228822
ISR,1.774248,0.112869,0.016021
ISR,2.229986,0.173353,0.218340
ISR,2.694139,0.212134,0.258818
ISR,3.221913,0.738711,0.715793
ISR,3.716732,1.592843,0.433165
ISR,4.239393,1.592112,1.215546
ISR,4.735860,2.127987,0.917780
ISR,5.305409,3.290510,0.840490
ISR,5.717487,3.577466,0.763015
ISR,6.241147,5.299248,0.764615
ISR,6.766714,5.126294,0.856586
ISR,7.294791,4.251679,1.019100
ISR,7.723913,4.981500,0.000000
ISR,8.257158,4.238116,0.481478
ISR,8.882557,3.873322,0.292391
ISR,9.117840,3.948039,0.307681
ISR,9.873954,4.562681,1.023206
ISR,10.854775,4.993063,1.172154
ISR,11.334212,5.126473,1.082037
ISR,11.722246,4.846353,1.251622
ISR,12.242900,5.338562,1.517248
ISR,12.838860,7.487813,1.856180
ISR,13.372383,6.684199,1.840362
ISR,13.695394,8.133527,1.620595
ISR,14.049193,4.960319,0.408353
ISR,14.535710,4.036522,0.000000
GBR,0.631517,0.555490,0.228959
GBR,1.089362,0.410823,0.089135
GBR,1.682760,0.524110,0.002540
GBR,2.216570,0.521230,0.000300
GBR,3.331345,3.178470,2.653730
GBR,3.814701,5.873522,0.515292
GBR,4.166898,4.262461,1.902258
GBR,4.770174,1.055513,1.063522
GBR,5.281528,4.208990,1.706337
GBR,5.795611,3.491517,2.577139
GBR,6.222284,4.524472,1.972491
GBR,6.754874,5.576154,1.523023
GBR,7.290308,4.719609,1.584029
GBR,7.679676,4.091077,1.062185
GBR,8.278163,6.474737,0.623309
GBR,8.929600,7.732358,1.725435
GBR,9.267955,8.216655,1.985795
GBR,9.849413,10.962170,0.263548
GBR,10.190399,8.366179,2.008932
GBR,10.710771,7.362899,2.103805
GBR,11.255434,8.603514,2.352923
GBR,11.671005,9.289655,3.173145
