"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","1950",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1951",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1952",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1953",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1954",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1955",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1956",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1957",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1958",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1959",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1960",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1961",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1962",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1963",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1964",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1965",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1966",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1967",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1968",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1969",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1970",0.892857,
"AUS","EXCH","TOT","NATUSD","A","1971",0.88267,
"AUS","EXCH","TOT","NATUSD","A","1972",0.838698,
"AUS","EXCH","TOT","NATUSD","A","1973",0.704114,
"AUS","EXCH","TOT","NATUSD","A","1974",0.696666,
"AUS","EXCH","TOT","NATUSD","A","1975",0.763871,
"AUS","EXCH","TOT","NATUSD","A","1976",0.818284,
"AUS","EXCH","TOT","NATUSD","A","1977",0.901825,
"AUS","EXCH","TOT","NATUSD","A","1978",0.873659,
"AUS","EXCH","TOT","NATUSD","A","1979",0.894641,
"AUS","EXCH","TOT","NATUSD","A","1980",0.878244,
"AUS","EXCH","TOT","NATUSD","A","1981",0.870215,
"AUS","EXCH","TOT","NATUSD","A","1982",0.985863,
"AUS","EXCH","TOT","NATUSD","A","1983",1.110015,
"AUS","EXCH","TOT","NATUSD","A","1984",1.139519,
"AUS","EXCH","TOT","NATUSD","A","1985",1.431895,
"AUS","EXCH","TOT","NATUSD","A","1986",1.495974,
"AUS","EXCH","TOT","NATUSD","A","1987",1.42818,
"AUS","EXCH","TOT","NATUSD","A","1988",1.279908,
"AUS","EXCH","TOT","NATUSD","A","1989",1.264597,
"AUS","EXCH","TOT","NATUSD","A","1990",1.281057,
"AUS","EXCH","TOT","NATUSD","A","1991",1.283756,
"AUS","EXCH","TOT","NATUSD","A","1992",1.361648,
"AUS","EXCH","TOT","NATUSD","A","1993",1.47056,
"AUS","EXCH","TOT","NATUSD","A","1994",1.367751,
"AUS","EXCH","TOT","NATUSD","A","1995",1.349033,
"AUS","EXCH","TOT","NATUSD","A","1996",1.277863,
"AUS","EXCH","TOT","NATUSD","A","1997",1.34738,
"AUS","EXCH","TOT","NATUSD","A","1998",1.591828,
"AUS","EXCH","TOT","NATUSD","A","1999",1.54995,
