"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LTINT","TOT","PC_PA","A","1994",10.47833,
"PRT","LTINT","TOT","PC_PA","A","1995",11.465,
"PRT","LTINT","TOT","PC_PA","A","1996",8.559167,
"PRT","LTINT","TOT","PC_PA","A","1997",6.358333,
"PRT","LTINT","TOT","PC_PA","A","1998",4.8775,
"PRT","LTINT","TOT","PC_PA","A","1999",4.7775,
"PRT","LTINT","TOT","PC_PA","A","2000",5.595,
"PRT","LTINT","TOT","PC_PA","A","2001",5.158333,
"PRT","LTINT","TOT","PC_PA","A","2002",5.006667,
"PRT","LTINT","TOT","PC_PA","A","2003",4.180083,
"PRT","LTINT","TOT","PC_PA","A","2004",4.143917,
"PRT","LTINT","TOT","PC_PA","A","2005",3.437917,
"PRT","LTINT","TOT","PC_PA","A","2006",3.914667,
"PRT","LTINT","TOT","PC_PA","A","2007",4.424141,
"PRT","LTINT","TOT","PC_PA","A","2008",4.519855,
"PRT","LTINT","TOT","PC_PA","A","2009",4.210149,
"PRT","LTINT","TOT","PC_PA","A","2010",5.396408,
"PRT","LTINT","TOT","PC_PA","A","2011",10.23912,
"PRT","LTINT","TOT","PC_PA","A","2012",10.54652,
"PRT","LTINT","TOT","PC_PA","A","2013",6.293129,
"PRT","LTINT","TOT","PC_PA","A","2014",3.75395,
"PRT","LTINT","TOT","PC_PA","A","2015",2.423333,
"PRT","LTINT","TOT","PC_PA","A","2016",3.171667,
"PRT","LTINT","TOT","PC_PA","A","2017",3.0525,
"PRT","LTINT","TOT","PC_PA","A","2018",1.839167,
"PRT","LTINT","TOT","PC_PA","A","2019",0.7575,
"PRT","LTINT","TOT","PC_PA","A","2020",0.4166667,
"IRL","LTINT","TOT","PC_PA","M","1970-12",10.01828,
"IRL","LTINT","TOT","PC_PA","M","1971-01",9.977638,
"IRL","LTINT","TOT","PC_PA","M","1971-02",10.00812,
"IRL","LTINT","TOT","PC_PA","M","1971-03",9.662662,
"IRL","LTINT","TOT","PC_PA","M","1971-04",9.550896,
"IRL","LTINT","TOT","PC_PA","M","1971-05",9.43913,
"IRL","LTINT","TOT","PC_PA","M","1971-06",9.449291,
"IRL","LTINT","TOT","PC_PA","M","1971-07",9.510254,
"IRL","LTINT","TOT","PC_PA","M","1971-08",9.500093,
"IRL","LTINT","TOT","PC_PA","M","1971-09",9.256241,
"IRL","LTINT","TOT","PC_PA","M","1971-10",8.920943,
"IRL","LTINT","TOT","PC_PA","M","1971-11",8.748215,
"IRL","LTINT","TOT","PC_PA","M","1971-12",8.616128,
"IRL","LTINT","TOT","PC_PA","M","1972-01",8.504362,
"IRL","LTINT","TOT","PC_PA","M","1972-02",8.382436,
"IRL","LTINT","TOT","PC_PA","M","1972-03",8.514523,
"IRL","LTINT","TOT","PC_PA","M","1972-04",8.433238,
"IRL","LTINT","TOT","PC_PA","M","1972-05",8.778696,
"IRL","LTINT","TOT","PC_PA","M","1972-06",9.967478,
"IRL","LTINT","TOT","PC_PA","M","1972-07",9.916676,
"IRL","LTINT","TOT","PC_PA","M","1972-08",9.662662,
"IRL","LTINT","TOT","PC_PA","M","1972-09",9.611859,
"IRL","LTINT","TOT","PC_PA","M","1972-10",9.601699,
"IRL","LTINT","TOT","PC_PA","M","1972-11",9.62202,
"IRL","LTINT","TOT","PC_PA","M","1972-12",9.611859,
"IRL","LTINT","TOT","PC_PA","M","1973-01",9.713465,
"IRL","LTINT","TOT","PC_PA","M","1973-02",9.764267,
"IRL","LTINT","TOT","PC_PA","M","1973-03",10.17069,
"IRL","LTINT","TOT","PC_PA","M","1973-04",10.16053,
"IRL","LTINT","TOT","PC_PA","M","1973-05",10.20117,
"IRL","LTINT","TOT","PC_PA","M","1973-06",10.34342,
"IRL","LTINT","TOT","PC_PA","M","1973-07",10.93273,
"IRL","LTINT","TOT","PC_PA","M","1973-08",11.52204,
"IRL","LTINT","TOT","PC_PA","M","1973-09",11.60332,
"IRL","LTINT","TOT","PC_PA","M","1973-10",11.62364,
"IRL","LTINT","TOT","PC_PA","M","1973-11",12.11135,
"IRL","LTINT","TOT","PC_PA","M","1973-12",12.52793,
"IRL","LTINT","TOT","PC_PA","M","1974-01",13.45254,
"IRL","LTINT","TOT","PC_PA","M","1974-02",13.58463,
"IRL","LTINT","TOT","PC_PA","M","1974-03",14.02153,
"IRL","LTINT","TOT","PC_PA","M","1974-04",14.26538,
"IRL","LTINT","TOT","PC_PA","M","1974-05",13.98089,
"IRL","LTINT","TOT","PC_PA","M","1974-06",14.84453,
"IRL","LTINT","TOT","PC_PA","M","1974-07",14.71244,
"IRL","LTINT","TOT","PC_PA","M","1974-08",15.18999,
"IRL","LTINT","TOT","PC_PA","M","1974-09",14.89533,
"IRL","LTINT","TOT","PC_PA","M","1974-10",15.56593,
"IRL","LTINT","TOT","PC_PA","M","1974-11",16.61246,
"IRL","LTINT","TOT","PC_PA","M","1974-12",17.13065,
"IRL","LTINT","TOT","PC_PA","M","1975-01",15.444,
"IRL","LTINT","TOT","PC_PA","M","1975-02",14.2857,
"IRL","LTINT","TOT","PC_PA","M","1975-03",13.39158,
"IRL","LTINT","TOT","PC_PA","M","1975-04",14.10281,
"IRL","LTINT","TOT","PC_PA","M","1975-05",13.85896,
"IRL","LTINT","TOT","PC_PA","M","1975-06",13.98089,
"IRL","LTINT","TOT","PC_PA","M","1975-07",13.37125,
"IRL","LTINT","TOT","PC_PA","M","1975-08",13.57446,
"IRL","LTINT","TOT","PC_PA","M","1975-09",14.03169,
"IRL","LTINT","TOT","PC_PA","M","1975-10",14.70228,
"IRL","LTINT","TOT","PC_PA","M","1975-11",14.68196,
"IRL","LTINT","TOT","PC_PA","M","1975-12",14.87501,
"IRL","LTINT","TOT","PC_PA","M","1976-01",13.99105,
"IRL","LTINT","TOT","PC_PA","M","1976-02",14.00121,
"IRL","LTINT","TOT","PC_PA","M","1976-03",14.3365,
"IRL","LTINT","TOT","PC_PA","M","1976-04",14.45843,
"IRL","LTINT","TOT","PC_PA","M","1976-05",14.36699,
"IRL","LTINT","TOT","PC_PA","M","1976-06",14.11297,
"IRL","LTINT","TOT","PC_PA","M","1976-07",14.36699,
"IRL","LTINT","TOT","PC_PA","M","1976-08",14.60068,
"IRL","LTINT","TOT","PC_PA","M","1976-09",15.47448,
"IRL","LTINT","TOT","PC_PA","M","1976-10",16.63278,
"IRL","LTINT","TOT","PC_PA","M","1976-11",16.09428,
"IRL","LTINT","TOT","PC_PA","M","1976-12",15.73866,
"IRL","LTINT","TOT","PC_PA","M","1977-01",14.31618,
"IRL","LTINT","TOT","PC_PA","M","1977-02",14.50923,
"IRL","LTINT","TOT","PC_PA","M","1977-03",12.90387,
"IRL","LTINT","TOT","PC_PA","M","1977-04",13.35093,
"IRL","LTINT","TOT","PC_PA","M","1977-05",13.66591,
"IRL","LTINT","TOT","PC_PA","M","1977-06",13.798,
