LOCATION,short_rate(t),term_rate(t),short_rate(t+5y),term_rate(t+5y)
CHL,1.660000,6.500000,0.600000,5.745703
CHL,1.680000,6.320000,0.460000,5.608758
CHL,2.330000,6.160000,0.490000,5.852798
CHL,2.350000,6.630000,0.490000,5.980509
CHL,2.340000,6.260000,0.480000,6.164409
CHL,2.320000,6.020000,0.480000,6.310850
CHL,2.490000,5.990000,0.460000,6.389003
CHL,2.950000,5.910000,0.490000,6.395744
CHL,2.830000,6.090000,0.500000,6.467190
CHL,2.850000,5.680000,1.440000,6.365788
CHL,3.010000,5.850000,1.850000,6.257122
CHL,3.830000,5.810000,2.470000,5.975469
CHL,4.250000,5.870000,2.990000,5.963199
CHL,4.520000,6.340000,3.210000,6.102022
CHL,4.730000,6.530000,3.260000,6.168201
CHL,4.750000,6.480000,3.400000,6.113865
CHL,4.640000,6.250000,3.600000,6.561131
CHL,4.480000,6.370000,4.260000,6.580013
CHL,4.820000,6.510000,5.550000,6.270205
CHL,5.210000,6.100000,5.280000,5.052257
CHL,5.040000,5.340000,4.840000,5.072552
CHL,4.610000,5.580000,5.070000,5.786806
CHL,4.750000,5.660000,5.050000,5.822207
CHL,4.860000,6.340000,5.160000,5.509680
CHL,5.500000,6.300000,4.960000,5.352487
CHL,6.610000,6.540601,5.030000,5.281054
CHL,6.680000,7.017645,4.980000,5.166661
CHL,7.320000,7.567279,4.910000,5.275863
CHL,7.570000,7.804599,4.880000,5.294773
CHL,6.740000,5.571222,4.450000,5.056942
CHL,4.430000,4.844532,4.190000,5.000000
CHL,2.620000,4.886536,4.040000,5.018712
CHL,1.890000,5.440839,3.720000,4.914360
CHL,1.080000,5.890076,3.950000,4.856439
CHL,0.600000,5.745703,3.770000,4.662457
CHL,0.460000,6.389003,2.810000,4.184115
CHL,0.490000,6.395744,3.080000,4.203212
CHL,0.500000,6.467190,1.530000,4.342277
CHL,1.440000,6.365788,2.850000,4.653217
CHL,3.600000,6.561131,3.500000,4.563584
CHL,3.880000,6.872066,3.620000,4.446364
CHL,4.260000,6.580013,3.600000,4.439795
CHL,5.010000,6.416609,3.500000,4.392569
CHL,5.370000,6.284910,3.540000,4.501842
CHL,5.550000,6.270205,3.520000,4.545489
CHL,5.560000,6.179456,3.500000,4.406804
CHL,5.350000,5.565037,3.480000,4.289105
CHL,5.280000,5.052257,3.500000,4.223877
CHL,5.140000,5.100889,3.480000,4.203056
CHL,4.840000,5.072552,3.220000,4.167268
CHL,5.050000,5.822207,2.720000,3.900740
CHL,5.160000,5.509680,2.540000,4.026836
CHL,4.960000,5.352487,2.490000,4.317871
CHL,5.080000,5.617204,2.500000,4.523826
CHL,5.030000,5.281054,2.620000,4.417883
