LOCATION,short_rate(t),short_rate(t+5y)
ASG,5.25,6.2
ASG,5.75,6.6
ASG,6.25,7
ASG,6.75,7.4
ASG,7.25,7.8
ASG,7.75,8.2
ASG,8.25,8.6
ASG,8.75,9
ASG,9.25,9.4
ASG,9.75,9.8
WAK,5.25,4.8
WAK,5.75,5.2
WAK,6.25,5.6
WAK,6.75,6
WAK,7.25,6.4
WAK,7.75,6.8
WAK,8.25,7.2
WAK,8.75,7.6
WAK,9.25,8
WAK,9.75,8.4
CHL,0.475,2.945
CHL,0.55,2.65
CHL,1.26,3.4
CHL,1.743333,1.593333
CHL,2.366,0.48
CHL,2.8125,1.6175
CHL,3.01,1.85
CHL,3.791667,2.945
CHL,4.343333,3.508333
CHL,4.785714,3.607857
CHL,5.156364,3.454545
CHL,5.536667,3.993333
CHL,6.676667,4.82
CHL,7.32,4.91
CHL,7.57,4.88
USA,0.233553,1.097895
USA,0.605,0.138333
USA,1.160435,2.21913
USA,1.779333,3.972667
USA,2.241667,1.906667
USA,2.786,0.702
USA,3.227083,4.604583
USA,3.793,4.987
USA,4.270345,5.581034
USA,4.792121,5.283636
USA,5.284932,4.709041
USA,5.701875,5.329062
USA,6.171212,7.337273
USA,6.709412,6.095588
USA,7.255714,7.414286
USA,7.767222,6.725
USA,8.230303,6.926061
USA,8.698,7.3665
USA,9.227647,8.685294
USA,9.706154,7.99
USA,10.186,9.516
USA,10.66125,8.845
USA,11.297143,9.178571
USA,11.683333,10.646667
USA,12.3625,8.155
USA,12.94,7.88
USA,13.42,7.813333
USA,13.7175,8.105
USA,14.368,7.112
USA,15.156667,6.13
USA,15.68,7.81
USA,16.14,8.09
USA,16.87,6.22
USA,17.19,7.82
USA,17.763333,7.103333
USA,18.27,6.65
USA,18.65,7.8
NZL,2.728036,2.183929
NZL,3.203529,2.432941
NZL,3.641667,1.068333
NZL,4.3825,4.785
NZL,4.749333,6.165333
NZL,5.265556,6.48
NZL,5.791333,7.009333
NZL,6.255,6.710556
NZL,6.755,5.768182
NZL,7.257879,6.591515
NZL,7.7056,5.4424
NZL,8.245714,8.210952
NZL,8.782174,4.924348
NZL,9.200526,9.029474
NZL,9.749091,10.191818
NZL,10.144,11.527
NZL,10.56,11.335
NZL,11.141429,14.325714
NZL,11.68125,13.04
NZL,12.19,14.068333
NZL,12.8375,13.0325
NZL,13.305,12.295
NZL,13.765556,12.322222
NZL,14.25,14.607778
NZL,14.658,13.88
NZL,15.217778,16.168889
NZL,15.784167,15.564167
NZL,16.242308,13.036154
NZL,16.71,15.50875
NZL,17.192,19.24
NZL,17.746667,16.663333
NZL,18.192,10.602
NZL,19.155,6.515
NZL,19.69,9.63
NZL,20.27,13.83
NZL,21.54,11.35
NZL,22.1875,12.9725
NZL,22.59,7.33
NZL,23.586667,11.066667
NZL,24.135,13.61
NZL,25.23,7.48
NZL,26.2525,10.6475
NZL,26.57,14.53
NZL,27.2,14.63
DNK,-0.144167,-0.2275
DNK,0.29621,-0.330645
DNK,0.868825,-0.2425
DNK,1.253009,-0.137826
DNK,1.646787,0.1225
DNK,2.206664,2.564055
DNK,2.768158,2.63085
DNK,3.248775,2.580463
DNK,3.760543,3.285813
DNK,4.267494,2.211389
DNK,4.804694,1.786456
DNK,5.297607,1.868187
DNK,5.790538,3.1903
DNK,6.225508,3.346946
DNK,6.6522,4.40682
DNK,7.1918,4.25595
DNK,7.5177,4.2318
DNK,8.1611,7.699645
DNK,8.795533,10.719233
DNK,9.313043,5.7303
DNK,9.714929,7.992414
