short_rate(t),short_rate(t+5y)
0.475,2.945
0.55,2.65
1.26,3.4
1.743333,1.593333
2.366,0.48
2.8125,1.6175
3.01,1.85
3.791667,2.945
4.343333,3.508333
4.785714,3.607857
5.156364,3.454545
5.536667,3.993333
6.676667,4.82
7.32,4.91
7.57,4.88
0.233553,1.097895
0.605,0.138333
1.160435,2.21913
1.779333,3.972667
2.241667,1.906667
2.786,0.702
3.227083,4.604583
3.793,4.987
4.270345,5.581034
4.792121,5.283636
5.284932,4.709041
5.701875,5.329062
6.171212,7.337273
6.709412,6.095588
7.255714,7.414286
7.767222,6.725
8.230303,6.926061
8.698,7.3665
9.227647,8.685294
9.706154,7.99
10.186,9.516
10.66125,8.845
11.297143,9.178571
11.683333,10.646667
12.3625,8.155
12.94,7.88
13.42,7.813333
13.7175,8.105
14.368,7.112
15.156667,6.13
15.68,7.81
16.14,8.09
16.87,6.22
17.19,7.82
17.763333,7.103333
18.27,6.65
18.65,7.8
2.728036,2.183929
3.203529,2.432941
3.641667,1.068333
4.3825,4.785
4.749333,6.165333
5.265556,6.48
5.791333,7.009333
6.255,6.710556
6.755,5.768182
7.257879,6.591515
7.7056,5.4424
8.245714,8.210952
8.782174,4.924348
9.200526,9.029474
9.749091,10.191818
10.144,11.527
10.56,11.335
11.141429,14.325714
11.68125,13.04
12.19,14.068333
12.8375,13.0325
13.305,12.295
13.765556,12.322222
14.25,14.607778
14.658,13.88
15.217778,16.168889
15.784167,15.564167
16.242308,13.036154
16.71,15.50875
17.192,19.24
17.746667,16.663333
18.192,10.602
19.155,6.515
19.69,9.63
20.27,13.83
21.54,11.35
22.1875,12.9725
22.59,7.33
23.586667,11.066667
24.135,13.61
25.23,7.48
26.2525,10.6475
26.57,14.53
27.2,14.63
-0.144167,-0.2275
0.29621,-0.330645
0.868825,-0.2425
1.253009,-0.137826
1.646787,0.1225
2.206664,2.564055
2.768158,2.63085
3.248775,2.580463
3.760543,3.285813
4.267494,2.211389
4.804694,1.786456
5.297607,1.868187
5.790538,3.1903
6.225508,3.346946
6.6522,4.40682
7.1918,4.25595
7.5177,4.2318
8.1611,7.699645
8.795533,10.719233
9.313043,5.7303
9.714929,7.992414
10.215559,6.3417
10.6294,5.486273
11.275125,6.84055
12.1827,6.0576
12.8755,3.8383
13.1908,3.9073
14.4453,3.9297
17.3233,3.8783
18.1473,4.022
0.206819,0.216449
0.753161,0.298777
1.295262,0.209967
1.774248,0.112869
2.229986,0.173353
2.694139,0.212134
3.221913,0.738711
3.716732,1.592843
4.239393,1.592112
4.73586,2.127987
5.305409,3.29051
5.717487,3.577466
6.241147,5.299248
6.766714,5.126294
7.294791,4.251679
7.723913,4.9815
8.257158,4.238116
8.882557,3.873322
9.11784,3.948039
9.873954,4.562681
10.854775,4.993063
11.334212,5.126473
11.722246,4.846353
12.2429,5.338562
12.83886,7.487813
13.372383,6.684199
13.695394,8.133527
14.049193,4.960319
14.53571,4.036522
0.631517,0.55549
1.089362,0.410823
1.68276,0.52411
2.21657,0.52123
3.331345,3.17847
3.814701,5.873522
4.166898,4.262461
4.770174,1.055513
5.281528,4.20899
5.795611,3.491517
6.222284,4.524472
6.754874,5.576154
7.290308,4.719609
