short_rate(t),short_rate(t+5y)
1.66,0.6
1.68,0.46
2.33,0.49
2.35,0.49
2.34,0.48
2.32,0.48
2.49,0.46
2.95,0.49
2.83,0.5
2.85,1.44
3.01,1.85
3.83,2.47
4.25,2.99
4.52,3.21
4.73,3.26
4.75,3.4
4.64,3.6
4.48,4.26
4.82,5.55
5.21,5.28
5.04,4.84
4.61,5.07
4.75,5.05
4.86,5.16
5.5,4.96
6.61,5.03
6.68,4.98
7.32,4.91
7.57,4.88
6.74,4.45
4.43,4.19
2.62,4.04
1.89,3.72
1.08,3.95
0.6,3.77
0.46,2.81
0.49,3.08
0.5,1.53
1.44,2.85
3.6,3.5
3.88,3.62
4.26,3.6
5.01,3.5
5.37,3.54
5.55,3.52
5.56,3.5
5.35,3.48
5.28,3.5
5.14,3.48
4.84,3.22
5.05,2.72
5.16,2.54
4.96,2.49
5.08,2.5
5.03,2.62
4.98,2.59
4.91,2.63
4.88,2.63
4.75,2.65
4.45,2.95
4.19,3.06
3.72,3.02
3.95,2.62
3.77,2.44
3.86,8.01
3.87,8.69
3.85,8.38
3.87,8.47
3.94,8.56
3.99,8.46
4.14,8.77
4.13,8.91
4.19,8.58
4.27,8.08
4.28,7.51
4.32,8.08
4.31,8.07
4.29,8.01
4.3,7.72
4.34,7.3
4.46,6.76
4.49,6.08
4.75,5.67
4.95,5.09
5.05,4.38
5.19,3.85
5.26,4.45
5.38,4.98
5.5,5.4
5.62,5.75
5.72,5.74
5.86,5.63
5.83,5.27
5.79,4.87
5.65,4.65
5.4,3.95
5.18,3.61
5.01,4.08
4.43,4.6
4.49,4.41
4.66,4.64
5,4.82
4.93,4.85
4.91,5.13
5.22,5.25
5.4,5.22
5.62,5.43
5.48,5.81
5.33,6.34
5.58,7.05
5.78,7.31
6.14,7.55
6.12,8.16
6.03,9.7
5.85,10.77
5.78,10.59
5.9,9.2
6.05,9.24
6.27,9.27
6.5,9
6.52,8.08
6.65,8.84
6.84,10.25
7.28,11.2
8.01,11.38
8.69,12.25
8.38,12.23
8.47,11.6
8.56,9.78
8.46,9.09
8.77,9.23
8.91,7.48
8.58,6.41
8.08,6.18
7.51,6.26
8.08,5.79
8.07,5.82
8.01,6.55
7.72,6.87
7.3,7.03
6.76,6.56
6.08,6.26
5.67,6.03
5.09,5.14
4.38,5.18
3.85,5.34
4.45,5.12
4.98,5.56
5.4,5.84
5.75,5.52
5.74,5.39
5.63,5.33
5.27,5.12
4.87,5.01
4.65,4.67
3.95,4.83
3.61,4.83
4.08,4.84
4.6,4.8
4.41,5.36
4.64,5.42
4.82,5.46
4.85,5.9
5.13,6.19
5.25,6.67
5.22,6.68
5.43,6.71
5.81,6.94
6.34,6.9
7.05,6.86
7.31,7.03
7.55,7.4
8.16,7.83
9.7,8.12
10.77,8.06
10.59,8.64
9.2,9.44
9.24,10.72
9.27,10.72
9,10.51
8.08,10.19
8.84,10.13
10.25,10.06
11.2,10.16
11.38,9.95
12.25,10.11
12.23,10.71
11.6,11.89
9.78,13.66
9.09,13.9
9.23,13.43
7.48,13.39
6.41,14.3
6.18,17.57
