LOCATION,short_rate(t),short_rate(t+5y)
CHL,1.66,0.6
CHL,1.68,0.46
CHL,2.33,0.49
CHL,2.35,0.49
CHL,2.34,0.48
CHL,2.32,0.48
CHL,2.49,0.46
CHL,2.95,0.49
CHL,2.83,0.5
CHL,2.85,1.44
CHL,3.01,1.85
CHL,3.83,2.47
CHL,4.25,2.99
CHL,4.52,3.21
CHL,4.73,3.26
CHL,4.75,3.4
CHL,4.64,3.6
CHL,4.48,4.26
CHL,4.82,5.55
CHL,5.21,5.28
CHL,5.04,4.84
CHL,4.61,5.07
CHL,4.75,5.05
CHL,4.86,5.16
CHL,5.5,4.96
CHL,6.61,5.03
CHL,6.68,4.98
CHL,7.32,4.91
CHL,7.57,4.88
CHL,6.74,4.45
CHL,4.43,4.19
CHL,2.62,4.04
CHL,1.89,3.72
CHL,1.08,3.95
CHL,0.6,3.77
CHL,0.46,2.81
CHL,0.49,3.08
CHL,0.5,1.53
CHL,1.44,2.85
CHL,3.6,3.5
CHL,3.88,3.62
CHL,4.26,3.6
CHL,5.01,3.5
CHL,5.37,3.54
CHL,5.55,3.52
CHL,5.56,3.5
CHL,5.35,3.48
CHL,5.28,3.5
CHL,5.14,3.48
CHL,4.84,3.22
CHL,5.05,2.72
CHL,5.16,2.54
CHL,4.96,2.49
CHL,5.08,2.5
CHL,5.03,2.62
CHL,4.98,2.59
CHL,4.91,2.63
CHL,4.88,2.63
CHL,4.75,2.65
CHL,4.45,2.95
CHL,4.19,3.06
CHL,3.72,3.02
CHL,3.95,2.62
CHL,3.77,2.44
USA,3.86,8.01
USA,3.87,8.69
USA,3.85,8.38
USA,3.87,8.47
USA,3.94,8.56
USA,3.99,8.46
USA,4.14,8.77
USA,4.13,8.91
USA,4.19,8.58
USA,4.27,8.08
USA,4.28,7.51
USA,4.32,8.08
USA,4.31,8.07
USA,4.29,8.01
USA,4.3,7.72
USA,4.34,7.3
USA,4.46,6.76
USA,4.49,6.08
USA,4.75,5.67
USA,4.95,5.09
USA,5.05,4.38
USA,5.19,3.85
USA,5.26,4.45
USA,5.38,4.98
USA,5.5,5.4
USA,5.62,5.75
USA,5.72,5.74
USA,5.86,5.63
USA,5.83,5.27
USA,5.79,4.87
USA,5.65,4.65
USA,5.4,3.95
USA,5.18,3.61
USA,5.01,4.08
USA,4.43,4.6
USA,4.49,4.41
USA,4.66,4.64
USA,5,4.82
USA,4.93,4.85
USA,4.91,5.13
USA,5.22,5.25
USA,5.4,5.22
USA,5.62,5.43
USA,5.48,5.81
USA,5.33,6.34
USA,5.58,7.05
USA,5.78,7.31
USA,6.14,7.55
USA,6.12,8.16
USA,6.03,9.7
USA,5.85,10.77
USA,5.78,10.59
USA,5.9,9.2
USA,6.05,9.24
USA,6.27,9.27
USA,6.5,9
USA,6.52,8.08
USA,6.65,8.84
USA,6.84,10.25
USA,7.28,11.2
USA,8.01,11.38
USA,8.69,12.25
USA,8.38,12.23
USA,8.47,11.6
USA,8.56,9.78
USA,8.46,9.09
USA,8.77,9.23
USA,8.91,7.48
USA,8.58,6.41
USA,8.08,6.18
USA,7.51,6.26
USA,8.08,5.79
USA,8.07,5.82
USA,8.01,6.55
USA,7.72,6.87
USA,7.3,7.03
USA,6.76,6.56
USA,6.08,6.26
USA,5.67,6.03
USA,5.09,5.14
USA,4.38,5.18
USA,3.85,5.34
USA,4.45,5.12
USA,4.98,5.56
USA,5.4,5.84
USA,5.75,5.52
USA,5.74,5.39
USA,5.63,5.33
USA,5.27,5.12
USA,4.87,5.01
USA,4.65,4.67
USA,3.95,4.83
USA,3.61,4.83
USA,4.08,4.84
USA,4.6,4.8
USA,4.41,5.36
USA,4.64,5.42
USA,4.82,5.46
USA,4.85,5.9
USA,5.13,6.19
USA,5.25,6.67
USA,5.22,6.68
USA,5.43,6.71
USA,5.81,6.94
USA,6.34,6.9
USA,7.05,6.86
USA,7.31,7.03
USA,7.55,7.4
USA,8.16,7.83
USA,9.7,8.12
USA,10.77,8.06
USA,10.59,8.64
USA,9.2,9.44
USA,9.24,10.72
USA,9.27,10.72
USA,9,10.51
USA,8.08,10.19
USA,8.84,10.13
USA,10.25,10.06
USA,11.2,10.16
USA,11.38,9.95
USA,12.25,10.11
USA,12.23,10.71
USA,11.6,11.89
USA,9.78,13.66
USA,9.09,13.9
USA,9.23,13.43
USA,7.48,13.39
USA,6.41,14.3
USA,6.18,17.57
USA,6.26,16.14
USA,5.79,9.79
USA,5.82,8.49
USA,6.55,8.65
USA,6.87,9.91
USA,7.03,11.29
USA,6.56,12.94
USA,6.26,15.68
USA,6.03,18.65
USA,5.14,17.19
USA,5.18,16.14
USA,5.34,14.43
USA,5.12,15.08
USA,5.56,18.27
USA,5.84,16.9
USA,5.52,17.76
USA,5.39,17.96
USA,5.33,16.84
USA,5.12,15.39
USA,5.01,12.48
USA,4.67,12.49
USA,4.83,13.51
USA,4.83,15
USA,4.84,14.21
USA,4.8,14.44
USA,5.36,13.8
USA,5.42,14.46
USA,5.46,13.44
USA,5.9,10.61
USA,6.19,10.66
USA,6.67,9.51
USA,6.68,8.95
USA,6.71,8.66
USA,6.94,8.36
USA,6.9,8.54
USA,6.86,8.69
USA,7.03,8.63
USA,7.4,8.49
USA,7.83,9.2
USA,8.12,9.5
USA,8.06,9.77
USA,8.64,9.39
USA,9.44,9.18
USA,10.72,9.36
USA,10.72,9.69
USA,10.51,9.42
USA,10.19,9.54
USA,10.13,10.08
USA,10.06,10.41
USA,10.16,11.11
USA,9.95,11.34
USA,10.11,11.56
USA,10.71,11.47
USA,11.89,11.29
USA,13.66,10.38
USA,13.9,9.18
USA,13.43,8.6
USA,13.39,8.14
USA,14.3,8.69
USA,17.57,9.02
USA,16.14,8.49
USA,9.79,7.92
USA,8.49,7.44
USA,8.65,7.64
USA,9.91,7.81
USA,11.29,7.93
USA,12.94,7.88
USA,15.68,7.81
USA,18.65,7.8
USA,17.19,7.82
USA,16.14,7.69
USA,14.43,7.24
USA,15.08,6.6
USA,18.27,6.65
USA,16.9,6.73
USA,17.76,6.37
USA,17.96,5.92
USA,16.84,5.71
USA,15.39,5.69
USA,12.48,5.76
USA,12.49,6.04
USA,13.51,5.87
USA,15,6.1
USA,14.21,6.17
USA,14.44,6.52
USA,13.8,6.99
USA,14.46,6.94
USA,13.44,6.7
USA,10.61,6.75
USA,10.66,7.37
USA,9.51,8.02
USA,8.95,7.24
USA,8.66,7.66
USA,8.36,6.92
USA,8.54,6.6
USA,8.69,6.63
USA,8.63,6.92
USA,8.49,7.24
USA,9.2,7.51
USA,9.5,7.94
USA,9.77,8.35
USA,9.39,8.23
USA,9.18,8.36
USA,9.36,8.78
USA,9.69,9.25
USA,9.42,9.2
USA,9.54,9.51
USA,10.08,10.09
USA,10.41,9.94
USA,11.11,9.59
USA,11.34,9.2
USA,11.56,8.76
USA,11.47,8.64
USA,11.29,8.78
USA,10.38,8.6
USA,9.18,8.39
USA,8.6,8.32
USA,8.14,8.16
USA,8.69,8.22
USA,9.02,8.35
USA,8.49,8.42
USA,7.92,8.35
USA,7.44,8.23
USA,7.64,8.1
USA,7.81,7.97
USA,7.93,8.06
USA,7.88,8.06
USA,7.81,8.03
USA,7.8,7.82
USA,7.82,7.17
USA,7.69,6.52
USA,7.24,6.45
USA,6.6,6.06
USA,6.65,5.91
USA,6.73,6.07
USA,6.37,5.98
USA,5.92,5.65
USA,5.71,5.47
USA,5.69,5.33
USA,5.76,4.94
USA,6.04,4.47
USA,5.87,4.05
USA,6.1,4.07
USA,6.17,4.25
USA,6.52,4
USA,6.99,3.82
USA,6.94,3.86
USA,6.7,3.37
USA,6.75,3.31
USA,7.37,3.13
USA,8.02,3.26
USA,7.24,3.58
USA,7.66,3.48
USA,6.92,3.19
USA,6.6,3.12
USA,6.63,3.11
USA,6.92,3.09
USA,7.24,3.1
USA,7.51,3.21
USA,7.94,3.16
USA,8.35,3.14
USA,8.23,3.12
USA,8.36,3.24
USA,8.78,3.35
USA,9.25,3.26
USA,9.2,3.15
USA,9.51,3.43
USA,10.09,3.77
USA,9.94,4.01
USA,9.59,4.51
USA,9.2,4.52
USA,8.76,4.73
USA,8.64,4.81
USA,8.78,5.03
USA,8.6,5.51
USA,8.39,5.79
USA,8.32,6.29
USA,8.16,6.24
USA,8.22,6.16
USA,8.35,6.15
USA,8.42,6.11
USA,8.35,6.02
USA,8.23,5.9
USA,8.1,5.77
USA,7.97,5.77
USA,8.06,5.73
USA,8.06,5.79
USA,8.03,5.74
USA,7.82,5.62
USA,7.17,5.39
USA,6.52,5.15
USA,6.45,5.29
USA,6.06,5.36
USA,5.91,5.36
USA,6.07,5.46
USA,5.98,5.53
USA,5.65,5.4
USA,5.47,5.51
USA,5.33,5.41
USA,4.94,5.38
USA,4.47,5.44
USA,4.05,5.43
USA,4.07,5.37
USA,4.25,5.53
USA,4,5.71
USA,3.82,5.7
USA,3.86,5.66
USA,3.37,5.6
USA,3.31,5.6
