short_rate(t),short_rate(t+5y)
11.95254,3.883927
18.607575,10.588918
14.110535,12.91325
11.795327,9.921284
6.946192,3.833131
15.835765,11.771556
7.503488,4.71284
25.67092,12.318704
28.54651,19.640579
5.337661,4.991441
21.669002,15.083862
11.155797,11.096247
12.721782,7.905277
27.023866,17.081879
-7.158558,-4.24587
-6.514828,-4.307752
-9.191264,-2.614828
23.304794,15.150922
21.12627,13.123999
24.800486,20.114409
29.144734,20.520915
21.966343,13.35276
8.459174,5.729946
21.221167,12.697441
-5.269023,-0.612273
15.596841,12.339555
-4.265869,0.287968
27.786757,20.135956
10.873933,8.677987
6.586478,9.438352
0.582224,0.498294
20.969348,14.110037
8.246013,3.87034
12.737358,8.897552
-9.248408,-6.540139
14.70542,8.376963
14.483829,9.569708
14.67736,12.150245
27.749923,21.044444
17.272812,12.163738
4.380316,4.642249
7.481278,6.218014
17.905248,15.780492
-7.590981,-2.021126
16.670669,13.663742
16.825515,14.448383
-1.584698,1.63144
-4.842948,-0.013135
2.617134,0.610739
4.548431,3.14192
12.404081,4.353127
18.610165,10.706713
14.317467,12.814531
12.385825,9.953083
7.469159,3.493271
15.463726,11.6017
7.75698,4.739833
25.455685,12.286669
28.321308,19.07723
5.453388,5.086088
21.572252,15.080776
11.524524,10.936811
12.877394,7.882372
26.87622,16.553368
-6.929525,-4.596321
-6.322946,-4.191629
-8.642191,-2.74439
23.093664,15.063347
21.082818,13.29892
24.389611,19.938769
28.207379,19.580741
22.014227,13.239952
8.680009,5.585022
20.872308,12.565812
-4.528582,-0.305968
15.089062,11.822964
-4.175764,0.397496
27.543621,20.463655
11.267662,8.466771
6.997479,9.537869
0.663616,0.814601
20.945989,14.095124
7.962794,3.681944
12.101341,8.660387
-9.230598,-6.229654
14.670012,8.519877
14.76028,9.304752
14.944147,11.751289
27.449317,20.541559
17.083696,12.583966
4.082767,4.625604
7.050763,6.889246
17.305593,15.8514
-6.923352,-1.83598
16.426693,13.680257
16.600917,14.658404
-1.891704,1.380516
-4.536822,0.65201
2.171017,0.61821
4.490765,2.954286
12.084138,4.445837
18.608907,10.974686
14.092687,12.458824
11.983713,10.07562
7.440532,3.298955
15.500539,11.400766
7.753302,4.600691
25.373245,12.446614
