short_rate(t),short_rate(t+5y)
11.95254,3.883927
18.607575,14.523612
14.110535,12.91325
11.795327,13.855977
6.946192,3.833131
15.835765,15.70625
7.503488,4.71284
25.67092,16.253397
28.54651,19.640579
5.337661,8.926134
21.669002,15.083862
11.155797,15.03094
12.721782,7.905277
27.023866,21.016572
-7.158558,-4.24587
-6.514828,-0.373059
-9.191264,-2.614828
23.304794,19.085616
21.12627,13.123999
24.800486,24.049102
29.144734,20.520915
21.966343,17.287453
8.459174,5.729946
21.221167,16.632135
-5.269023,-0.612273
15.596841,16.274249
-4.265869,0.287968
27.786757,24.070649
10.873933,8.677987
6.586478,13.373045
0.582224,0.498294
20.969348,18.04473
8.246013,3.87034
12.737358,12.832246
-9.248408,-6.540139
14.70542,12.311656
14.483829,9.569708
14.67736,16.084939
27.749923,21.044444
17.272812,16.098432
4.380316,4.642249
7.481278,10.152708
17.905248,15.780492
-7.590981,1.913568
16.670669,13.663742
16.825515,18.383077
-1.584698,1.63144
-4.842948,3.921559
2.617134,0.610739
4.548431,7.076614
12.404081,4.353127
18.693152,14.691741
14.317467,12.814531
12.468812,13.93811
7.469159,3.493271
15.546713,15.586728
7.75698,4.739833
25.538672,16.271696
28.321308,19.07723
5.536375,9.071116
21.572252,15.080776
11.607511,14.921838
12.877394,7.882372
26.959208,20.538396
-6.929525,-4.596321
-6.239959,-0.206601
-8.642191,-2.74439
23.176651,19.048375
21.082818,13.29892
24.472598,23.923797
28.207379,19.580741
22.097214,17.22498
8.680009,5.585022
20.955295,16.55084
-4.528582,-0.305968
15.172049,15.807992
-4.175764,0.397496
27.626608,24.448682
11.267662,8.466771
7.080466,13.522896
0.663616,0.814601
21.028976,18.080151
7.962794,3.681944
12.184328,12.645414
-9.230598,-6.229654
14.752999,12.504905
14.76028,9.304752
15.027135,15.736317
27.449317,20.541559
17.166683,16.568994
4.082767,4.625604
7.13375,10.874273
17.305593,15.8514
-6.840365,2.149047
16.426693,13.680257
16.683904,18.643431
-1.891704,1.380516
-4.453835,4.637037
2.171017,0.61821
4.573753,6.939313
12.084138,4.445837
18.774193,15.00963
14.092687,12.458824
12.148999,14.110564
7.440532,3.298955
15.665825,15.43571
7.753302,4.600691
25.538531,16.481558
27.944658,18.640246
5.510197,9.175922
21.240601,14.897982
11.531871,14.677919
12.577287,7.508138
26.361627,20.14519
-6.779307,-4.98832
-6.179679,0.178295
-8.999577,-2.749881
23.242389,19.060577
20.687437,13.570164
24.408983,23.497524
28.225258,19.187939
22.075551,17.280046
8.978386,5.053601
20.54941,16.370911
-4.333361,-0.528929
14.972933,15.896411
-4.350995,0.312769
27.354724,24.949973
11.125711,8.708747
7.162402,13.288845
0.363252,0.737527
21.238989,17.954251
8.072632,4.647408
11.764219,12.228997
-8.682881,-6.077706
15.302344,11.923887
15.019566,9.267025
14.97497,16.281544
26.953917,20.294674
17.453097,16.87483
3.973992,4.609625
7.551919,10.786547
17.263596,15.688701
-6.377187,2.086269
16.434741,13.427495
16.8739,18.229202
-1.831481,1.845529
-3.776857,4.609565
2.23113,0.739378
4.776321,6.753174
12.568967,4.772884
18.353807,14.930582
13.650472,12.370647
12.452499,13.589965
7.081627,3.42738
16.221374,15.955031
7.611052,4.353124
25.235303,16.336984
28.309353,18.198444
6.016338,9.26154
21.644943,14.834324
11.822204,14.884131
12.265791,7.64652
26.818728,19.867939
-6.75892,-4.840493
-5.772266,0.206524
-8.60995,-3.000521
23.12924,18.99026
20.734521,14.596487
24.597119,24.095337
28.141183,19.110562
21.699463,17.763089
9.031465,5.040055
20.886252,16.344195
-4.45641,-1.045839
14.929962,15.611814
-4.399012,0.12549
27.786032,24.898439
11.26895,8.682006
7.345068,13.13592
0.179476,0.602924
21.342882,17.88177
7.85247,4.251555
11.800261,12.075139
-8.752884,-6.095844
15.495105,11.588875
15.102864,9.136283
14.915047,16.029921
26.886045,20.524372
17.117199,16.788892
3.552018,4.558147
7.74057,10.945074
17.209939,15.760781
-6.016466,1.692227
17.027802,13.248789
17.130997,17.939988
-2.038297,1.8298
-3.298579,4.540967
1.874238,0.820078
4.727917,6.538577
12.486455,4.610868
18.820574,14.760505
13.363692,12.621997
12.235068,13.7079
7.035932,3.54692
16.019709,15.864452
7.914615,4.247433
24.838614,16.487836
27.78467,18.313339
5.964503,9.313534
21.363042,15.082277
12.405584,15.252909
12.479568,7.144
26.745922,19.951781
-7.015089,-4.771128
-5.356137,0.44138
-8.785742,-2.611973
22.615841,18.691409
20.946899,14.049116
24.608969,24.339188
28.21497,18.705225
21.735875,17.542064
9.245355,5.098792
20.649469,16.134979
-4.676495,-1.455298
15.127303,15.616606
-4.552937,-0.059653
27.480869,24.988882
11.085425,8.505358
7.41364,12.952652
0.117291,0.578792
20.89333,18.161586
7.643001,4.519855
11.184973,11.783825
-8.458264,-5.195557
15.028522,11.523139
14.700216,8.769283
14.93081,16.277784
26.490925,20.291134
17.545059,17.395771
3.190818,4.80644
7.877905,10.921359
17.097272,16.126232
-6.179256,2.047783
17.079043,12.825583
17.063791,18.172047
-1.757092,1.707012
-2.908999,4.603709
2.52465,0.892598
5.198984,6.355023
12.317754,4.229195
18.719766,14.868662
13.611729,12.157996
12.447171,12.975226
7.203826,3.317616
15.544472,15.952857
7.883405,4.175771
24.543915,16.841278
27.676394,18.255901
6.011152,9.13951
21.489996,14.87171
12.518687,14.836117
12.644491,7.439651
26.513802,19.511998
-7.188017,-4.955739
-5.305578,0.515927
-8.676252,-2.548124
22.662091,18.226997
21.466767,13.712614
24.517028,24.338195
27.746358,18.917612
21.5801,17.621717
9.076295,5.090521
20.741577,15.674531
-5.040982,-1.579939
15.144508,15.762032
-4.42848,0.294378
27.444318,25.162728
10.862494,8.516126
7.407915,13.31738
-0.25328,1.447288
20.702013,17.963916
7.464357,4.303547
11.336736,12.248863
-8.680339,-5.042974
15.253798,11.584413
15.051137,8.851272
14.333831,16.078246
26.435629,19.865517
17.719345,17.151547
3.02182,5.16772
7.822327,10.540484
16.958521,16.177848
-6.08946,1.994279
16.889599,12.658633
16.562844,18.360195
-1.368367,1.977978
-2.448718,4.788993
2.310395,0.385961
4.856999,6.880264
12.407444,4.613813
18.522681,14.896148
13.581241,12.101555
12.376174,13.512062
7.385167,3.605017
15.74051,15.936493
7.650015,4.09822
24.06537,16.770129
27.031254,18.485732
6.261949,9.488364
21.009956,14.324033
12.392973,14.971607
12.408911,7.668855
26.403078,19.039676
-7.645828,-4.873975
-5.082572,0.123138
-8.411522,-2.448103
22.624031,17.598839
21.240369,13.443508
24.466166,24.084301
27.672788,18.597487
20.725115,18.01898
9.60709,5.244359
20.80654,15.553588
-5.145989,-1.79469
15.030451,15.686779
-4.207705,0.036349
27.30753,25.359295
10.227635,9.063364
8.066887,13.635377
-0.241595,1.572522
20.949193,17.891506
7.244129,4.192383
11.810651,12.775514
-8.48415,-5.125889
15.42745,12.063408
14.665987,8.492664
14.688987,15.983784
26.456874,19.247347
18.072589,17.179658
2.856923,4.801521
7.743031,11.058151
17.524364,16.204099
-6.220445,2.257342
16.751685,12.676678
16.878066,18.01692
-1.287307,2.038887
-2.135632,5.404051
2.217404,0.426721
5.047999,6.65406
11.96881,4.082292
18.972108,14.69109
13.475917,11.53391
12.201598,13.76416
7.557742,3.842097
15.601366,15.675933
7.242856,4.282945
23.601375,16.589031
27.048698,18.36065
6.288399,9.641478
20.838498,14.118495
12.725726,15.092568
12.02214,7.160079
26.097518,19.040064
-7.651989,-4.802124
-4.888676,-0.344146
-8.312398,-2.908706
22.477944,17.040474
21.087805,13.493038
24.356633,24.044697
27.276901,18.56373
20.442913,17.611034
9.648103,5.571124
20.501168,15.832716
-5.39589,-1.959706
14.940047,16.020579
-4.176807,0.005106
27.856854,24.76058
9.980823,8.558325
8.396719,13.858509
0.017598,1.570929
20.556603,18.121898
7.448724,4.173574
11.495361,12.871245
-9.139885,-4.428848
15.598932,12.491014
14.07889,8.338733
14.821742,16.083864
26.081353,19.271847
18.526161,17.381365
3.18316,4.823667
7.672374,10.948393
17.221867,16.110074
-6.394817,2.224443
16.526878,13.098918
16.781549,18.350051
-1.340409,2.004681
-1.948192,5.607322
2.4075,0.416909
5.231524,7.067779
11.690389,4.392694
18.52409,14.857797
13.799484,11.731199
12.025794,13.965106
7.348215,4.190629
15.445921,15.823648
6.692195,4.332745
23.392016,16.409213
26.727258,17.796048
6.539776,9.677908
20.908686,13.828899
