LOCATION,short_rate(t),short_rate(t+5y)
C0001,11.952540,6.093130
C0002,18.607575,15.609990
C0003,14.110535,10.452263
C0004,11.795327,10.339533
C0005,6.946192,5.109434
C0006,15.835765,16.012110
C0007,7.503488,5.965030
C0008,25.670920,18.985452
C0009,28.546510,17.628934
C0010,5.337661,12.651683
C0001,12.404081,5.636488
C0002,18.693152,15.725397
C0003,14.317467,10.134400
C0004,12.468812,10.446944
C0005,7.469159,4.702660
C0006,15.546713,15.833376
C0007,7.756980,5.925126
C0008,25.538672,18.472975
C0009,28.321308,17.557371
C0010,5.536375,12.561720
C0001,12.384219,5.128231
C0002,19.082316,15.343164
C0003,14.459836,10.266474
C0004,12.524942,10.743253
C0005,7.576800,4.667049
C0006,15.638499,15.943305
C0007,8.165404,5.982067
C0008,25.391991,18.539308
C0009,28.218146,17.824393
C0010,5.368355,12.146922
C0001,11.585954,5.322444
C0002,19.237122,15.230039
C0003,14.630873,10.158031
C0004,12.331237,10.691326
C0005,8.210638,4.561516
C0006,15.213361,15.581504
C0007,8.152344,6.026842
C0008,25.251715,18.992296
C0009,28.467941,17.701763
C0010,5.872452,12.170199
C0001,11.576029,5.121362
C0002,19.311125,15.194218
C0003,14.294668,10.249797
C0004,11.781578,10.620203
C0005,8.083560,4.434153
C0006,15.256725,15.693091
C0007,8.481338,5.753316
C0008,25.513736,19.032054
C0009,28.161376,17.833161
C0010,5.860932,12.586266
C0001,11.218765,5.094264
C0002,18.865424,15.587398
C0003,13.724976,10.504839
C0004,12.371427,10.368968
C0005,7.910847,4.087260
C0006,15.128133,15.599304
C0007,8.090797,6.044092
C0008,25.650928,18.977726
C0009,27.503274,17.553267
C0010,5.875362,13.054391
C0001,10.908659,5.176304
C0002,18.945036,14.912626
C0003,13.505114,10.550712
C0004,12.052422,10.557522
C0005,7.878555,4.159962
C0006,15.250719,15.724151
C0007,8.084349,6.016007
C0008,25.649855,18.564128
C0009,27.133413,17.342078
C0010,5.846370,12.797561
C0001,10.665502,4.905581
C0002,18.808503,14.548734
C0003,13.199797,10.635271
C0004,11.578548,10.622649
C0005,7.905885,4.037559
C0006,15.132654,15.530694
C0007,7.588155,6.000814
C0008,25.695069,18.846087
C0009,26.687820,16.661088
C0010,5.937329,12.924633
C0001,10.828956,4.748832
C0002,18.814131,14.008446
C0003,13.460666,10.026829
C0004,11.250478,10.395478
C0005,7.997916,4.108913
C0006,14.933865,15.639757
C0007,7.315299,5.721448
C0008,25.439214,19.107758
C0009,26.417901,16.975096
C0010,6.028751,13.056197
C0001,10.444233,4.580193
C0002,19.042525,14.341267
C0003,13.524878,10.203177
C0004,10.838119,10.684088
C0005,8.402658,3.926803
C0006,15.481710,14.816183
C0007,7.636370,6.326526
C0008,25.300642,18.608649
C0009,25.931061,16.865393
C0010,6.407594,13.759590
C0001,10.282666,4.679106
C0002,19.361867,14.620757
C0003,13.514257,9.726293
C0004,11.154589,10.206736
C0005,8.477295,3.781931
C0006,15.681683,15.132581
C0007,7.617522,6.215563
C0008,25.730697,18.349310
C0009,25.793996,16.824073
C0010,6.594945,14.082211
C0001,10.782445,4.264650
C0002,18.936605,14.274451
C0003,13.076842,9.459402
C0004,11.466341,10.562509
C0005,8.109786,3.859827
C0006,16.237101,15.746980
C0007,7.476399,6.475804
C0008,25.425874,18.311384
C0009,26.176539,17.091145
C0010,7.092083,14.150882
C0001,11.273576,4.067260
C0002,19.165488,14.476764
C0003,12.761200,9.221382
C0004,12.047054,10.515504
C0005,8.006613,4.252587
C0006,16.458484,15.711544
C0007,7.729296,6.231710
C0008,25.294605,18.149861
C0009,26.178070,17.285770
C0010,7.423927,13.998423
C0001,11.330179,3.963320
C0002,18.813551,14.333797
C0003,12.782886,9.239445
C0004,12.454455,10.441438
C0005,7.781158,3.796379
C0006,16.403184,15.449532
C0007,7.581028,5.952216
C0008,25.743010,18.482636
C0009,26.196394,17.418413
C0010,7.604423,14.176262
C0001,11.055391,3.826039
C0002,18.937571,14.103827
C0003,12.523635,9.057755
C0004,12.484768,10.175617
C0005,7.574525,4.527247
C0006,16.586809,14.797633
C0007,7.726057,6.107129
C0008,25.593726,18.082917
C0009,26.134809,17.285235
C0010,7.350257,13.897887
C0001,10.574650,3.495829
C0002,19.031736,13.782118
