LOCATION,TIME,FREQUENCY,Value
C0001,2000-01,M,11.952540
C0002,2000-01,M,18.607575
C0003,2000-01,M,14.110535
C0004,2000-01,M,11.795327
C0005,2000-01,M,6.946192
C0006,2000-01,M,15.835765
C0007,2000-01,M,7.503488
C0008,2000-01,M,25.670920
C0009,2000-01,M,28.546510
C0010,2000-01,M,5.337661
C0001,2000-02,M,12.404081
C0002,2000-02,M,18.693152
C0003,2000-02,M,14.317467
C0004,2000-02,M,12.468812
C0005,2000-02,M,7.469159
C0006,2000-02,M,15.546713
C0007,2000-02,M,7.756980
C0008,2000-02,M,25.538672
C0009,2000-02,M,28.321308
C0010,2000-02,M,5.536375
C0001,2000-03,M,12.384219
C0002,2000-03,M,19.082316
C0003,2000-03,M,14.459836
C0004,2000-03,M,12.524942
C0005,2000-03,M,7.576800
C0006,2000-03,M,15.638499
C0007,2000-03,M,8.165404
C0008,2000-03,M,25.391991
C0009,2000-03,M,28.218146
C0010,2000-03,M,5.368355
C0001,2000-04,M,11.585954
C0002,2000-04,M,19.237122
C0003,2000-04,M,14.630873
C0004,2000-04,M,12.331237
C0005,2000-04,M,8.210638
C0006,2000-04,M,15.213361
C0007,2000-04,M,8.152344
C0008,2000-04,M,25.251715
C0009,2000-04,M,28.467941
C0010,2000-04,M,5.872452
C0001,2000-05,M,11.576029
C0002,2000-05,M,19.311125
C0003,2000-05,M,14.294668
C0004,2000-05,M,11.781578
C0005,2000-05,M,8.083560
C0006,2000-05,M,15.256725
C0007,2000-05,M,8.481338
C0008,2000-05,M,25.513736
C0009,2000-05,M,28.161376
C0010,2000-05,M,5.860932
C0001,2000-06,M,11.218765
C0002,2000-06,M,18.865424
C0003,2000-06,M,13.724976
C0004,2000-06,M,12.371427
C0005,2000-06,M,7.910847
C0006,2000-06,M,15.128133
C0007,2000-06,M,8.090797
C0008,2000-06,M,25.650928
C0009,2000-06,M,27.503274
C0010,2000-06,M,5.875362
C0001,2000-07,M,10.908659
C0002,2000-07,M,18.945036
C0003,2000-07,M,13.505114
C0004,2000-07,M,12.052422
C0005,2000-07,M,7.878555
C0006,2000-07,M,15.250719
C0007,2000-07,M,8.084349
C0008,2000-07,M,25.649855
C0009,2000-07,M,27.133413
C0010,2000-07,M,5.846370
C0001,2000-08,M,10.665502
C0002,2000-08,M,18.808503
C0003,2000-08,M,13.199797
C0004,2000-08,M,11.578548
C0005,2000-08,M,7.905885
C0006,2000-08,M,15.132654
C0007,2000-08,M,7.588155
C0008,2000-08,M,25.695069
C0009,2000-08,M,26.687820
C0010,2000-08,M,5.937329
C0001,2000-09,M,10.828956
C0002,2000-09,M,18.814131
C0003,2000-09,M,13.460666
C0004,2000-09,M,11.250478
C0005,2000-09,M,7.997916
C0006,2000-09,M,14.933865
C0007,2000-09,M,7.315299
C0008,2000-09,M,25.439214
C0009,2000-09,M,26.417901
C0010,2000-09,M,6.028751
C0001,2000-10,M,10.444233
C0002,2000-10,M,19.042525
C0003,2000-10,M,13.524878
C0004,2000-10,M,10.838119
C0005,2000-10,M,8.402658
C0006,2000-10,M,15.481710
C0007,2000-10,M,7.636370
C0008,2000-10,M,25.300642
C0009,2000-10,M,25.931061
C0010,2000-10,M,6.407594
C0001,2000-11,M,10.282666
C0002,2000-11,M,19.361867
C0003,2000-11,M,13.514257
C0004,2000-11,M,11.154589
C0005,2000-11,M,8.477295
C0006,2000-11,M,15.681683
